application_id,candidate_titles,cos_sim_score,filtered_candidate_briefs,percentiles
1005106,['human resources and administrator manager'],0.9709193706512451,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Program Manager'}",
1005107,"['Group Internal Auditor', 'Audit Senior', 'Management Accountant', 'Financial Accountant', 'Head Of Finance', 'Financial Management Consultant', 'Head Of Finance']",0.9378770589828491,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Software Engineer'}",
1005108,"['Human Resources and customer service intern', 'Freelance Blogger', 'Human Resources Officer', 'Human Resources Officer', 'Human Resource/Administrative Officer', 'Human Resources Manager', 'HR/Admin Manager']",0.9627970457077021,"{'data': {'extra': None, 'state': 'Gauteng', 'country': 'ZA'}, 'most_recent_title': 'Inventory Accountant'}",
1008194,"['Software Trainer and IT Consultant', 'Lead Software Engineer', 'Software Developer', 'Back End Developer']",0.412960559129714,"{'data': {'extra': None, 'state': None, 'country': 'NG'}, 'most_recent_title': 'FRONT DESK OFFICER'}",
1007894,"['Retail Sales Manager', 'Key Account Manager', 'Sales Manager']",0.37169474363327004,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Advertising Account Executive'}",
1008074,['stores and procurement officer'],0.487491279840469,"{'data': {'extra': None, 'state': None, 'country': 'NG'}, 'most_recent_title': 'Hospitality Associate'}",
1007837,"['Merchandiser', 'Manager', 'Travel Consultant', 'Head of Customer Experience', 'Head Of Sales and Account Manager', 'Restaurants Sales Manager', 'Sales Team Lead at Bolt ']",0.14993166923522902,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Part time Financial advisor'}",
1007330,"['Truck Turnboy', 'Finance Assistant - (Part-Time)', 'KUMON Instructor - (Part-time)', 'Credit Risk Analyst', 'Credit Analyst - Team lead', 'Business Analyst', 'Senior Analyst', 'Associate']",0.302150189876556,"{'data': {'extra': None, 'state': None, 'country': 'KE'}, 'most_recent_title': 'Sales Rep'}",
1007430,"['Sales Executive', 'Sales Account Executive', 'Retail Sales Manager', 'Territory Manager', 'Territory Manager', 'Regional Sales Capability Development Manager', 'Trade Development Manager', 'Regional Sales Trainer', 'Business Development Manager/Country Product Launcher', 'Head of Customer Intelligence, Africa']",0.28620243072509705,"{'data': {'extra': None, 'state': None, 'country': 'IN'}, 'most_recent_title': 'Articleship'}",
1007858,"['Subsidiary Accountant', 'Finance Analyst', 'Senior Management Accountant', 'Senior Consultant']",0.133256152272224,"{'data': {'extra': None, 'state': 'Greater Accra Region', 'country': 'GH'}, 'most_recent_title': 'Data Analyst'}",
1007876,"['Systems Administrator assistant', 'Snr. Project Manager', 'Snr. Account Manager (Data center)', 'Snr. Sales Manager', 'Country Manager', 'Senior Manager-New business and Territory', 'Director Partnerships', 'Sales Director', 'CEO- Co Founder', 'Director of Business Development', 'Director Sales - Africa', 'Managing Partner  ']",0.22174136340618103,"{'data': {'extra': None, 'state': None, 'country': 'MA'}, 'most_recent_title': 'Chargé de relations bancaires'}",
1007955,"['SALES SUPERVISOR', 'Sales Manager', 'Operations Manager', 'Territory Sales Manager', 'Area Sales Manager', 'Area Sales Manager']",0.370205879211425,"{'data': {'extra': None, 'state': 'Nairobi County', 'country': 'ke'}, 'most_recent_title': 'Human Resources Account Manager'}",
